,area,mean_intensity,eccentricity,major_axis_length,perimeter,max_intensity,circularity
24,584,80.76198630136986,0.6961378285330596,32.461009603016244,93.59797974644667,125,0.8377024033058057
25,507,101.51282051282051,0.744170640157135,31.146903615797925,83.84062043356595,166,0.9063769580812958
26,484,104.96487603305785,0.7073653552171253,29.897874758216034,85.97665940288701,181,0.8227996384936835
27,401,113.2643391521197,0.7249076153903781,27.291268951392077,73.94112549695427,170,0.9216841579128304
28,152,75.16447368421052,0.9270721184350931,23.177392843039822,52.86396103067893,109,0.683492966247602
29,119,79.22689075630252,0.9546312728499439,22.961218782947718,48.82842712474619,98,0.6272076628087326
30,245,88.41632653061224,0.7667613159878878,22.406103340737353,58.97056274847714,137,0.8853304548625203
31,513,85.41910331384015,0.6317177668162367,29.148154393772025,83.59797974644667,119,0.9224347695960541
32,1169,130.91702309666383,0.76418927676902,49.227334133997196,136.95331880577402,255,0.7832118561463707
33,633,104.57503949447077,0.7582257632874839,35.20091393304323,94.42640687119285,150,0.8921269226455104
34,109,208.96330275229357,0.5154844749108113,12.746183522824841,36.62741699796952,255,1.0209953784122008
35,471,92.7452229299363,0.6128910143382812,27.561453989921556,79.01219330881975,143,0.9480746534233635
36,547,83.0054844606947,0.7561467816513627,32.97569753256712,90.42640687119285,120,0.8406334006475168
37,670,80.36865671641792,0.6504479763109696,33.615917982506396,96.42640687119285,116,0.9055088489567195
38,500,83.336,0.4068372914398898,26.495799415215085,82.76955262170047,110,0.9171463726823239
39,1017,99.31661750245821,0.6468667756603754,41.23919617495295,117.1543289325507,150,0.931138181902537
40,136,190.98529411764707,0.580377378509699,14.6036209084583,41.45584412271571,255,0.994436936676639
41,318,176.86163522012578,0.7821495391506311,25.60791460113915,67.59797974644667,255,0.8745196064078663
42,849,105.74793875147232,0.6239653473831843,37.29788120906392,106.66904755831214,146,0.9376499172480588
43,266,195.6766917293233,0.6784380922902215,21.529150743707486,59.35533905932738,255,0.9487939796147672
44,221,174.3891402714932,0.7111701526724328,20.015084741040457,54.2842712474619,255,0.9424408751449784
45,454,94.73788546255507,0.6559669029787367,27.914839368317104,79.59797974644667,138,0.9004541967459455
46,322,91.27639751552795,0.7852498480848416,26.524671568379997,71.45584412271572,143,0.7924834981997094
47,343,101.66180758017492,0.7819013631435054,27.437993923882075,74.90559159102155,156,0.7682021306522854
48,344,192.51162790697674,0.7852855937808956,26.777199607971962,71.35533905932738,255,0.8490149904852421
49,560,76.31785714285714,0.8364183419320791,36.637738510331864,95.84062043356595,118,0.766123277679594
50,505,81.61980198019802,0.7638213688808192,31.700632289107293,84.42640687119285,126,0.8903169248295693
51,511,89.97455968688845,0.865368850140372,36.65257543614098,93.01219330881976,130,0.7422513447342474
52,708,107.34745762711864,0.5469131619640065,33.19526880168827,99.7401153701776,155,0.8943415113645153
53,314,113.7547770700637,0.85555482047211,28.502897273454906,73.59188309203678,150,0.7285840847302919
54,297,146.7070707070707,0.6322094064150392,22.112608232400245,62.526911934581186,255,0.9546240086316476
55,379,113.15831134564644,0.6467304587774726,25.206295054626754,70.5269119345812,182,0.957501222619071
56,351,103.39886039886039,0.7595693627201101,27.183020066825538,75.14823227814082,153,0.7810510891397503
57,454,83.57709251101322,0.6554735340113953,27.989311165859963,79.74011537017762,139,0.8972469640717434
58,399,106.05263157894737,0.6401044987252077,25.976265663982893,73.35533905932738,155,0.9317926965387223
59,526,79.99619771863118,0.7884259216723432,33.3048987313637,87.35533905932738,123,0.8661970508359704
60,839,96.65435041716329,0.7082691070283316,39.436025621403815,113.01219330881976,149,0.8255078691170274
61,490,88.52244897959184,0.6620985667477922,29.129646006227002,82.42640687119285,139,0.9063025606356828
62,247,89.8744939271255,0.35077045141483615,18.55518925135802,57.79898987322333,126,0.9291082582161757
